Saturday, January 1, 2022 6:00:00 AM-0 
Sunday, January 23, 2022 6:00:00 AM-1 
Sunday, January 23, 2022 6:00:00 AM-2 
Monday, January 24, 2022 6:00:00 AM-0 
Monday, January 24, 2022 6:00:00 AM-1 
Monday, January 24, 2022 6:00:00 AM-2 
Monday, January 24, 2022 6:00:00 AM-3 
Tuesday, January 25, 2022 6:00:00 AM-0 
Wednesday, January 26, 2022 6:00:00 AM-0 
Wednesday, January 26, 2022 6:00:00 AM-1 
Wednesday, January 26, 2022 6:00:00 AM-2 
Thursday, January 27, 2022 6:00:00 AM-0 
Thursday, January 27, 2022 6:00:00 AM-1 
Friday, January 28, 2022 6:00:00 AM-0 
Friday, January 28, 2022 6:00:00 AM-1 
Saturday, January 29, 2022 6:00:00 AM-0 
Sunday, January 30, 2022 6:00:00 AM-0 
Tuesday, February 1, 2022 6:00:00 AM-0 
Wednesday, February 2, 2022 6:00:00 AM-0 
Wednesday, February 2, 2022 6:00:00 AM-1 
Wednesday, February 2, 2022 6:00:00 AM-2 
Thursday, February 3, 2022 6:00:00 AM-0 
Friday, February 4, 2022 6:00:00 AM-0 
Friday, February 4, 2022 6:00:00 AM-1 
Friday, February 4, 2022 6:00:00 AM-2 
Saturday, February 5, 2022 6:00:00 AM-0 
Saturday, February 5, 2022 6:00:00 AM-1 
Saturday, February 5, 2022 6:00:00 AM-2 
Sunday, February 6, 2022 6:00:00 AM-0 
Sunday, February 6, 2022 6:00:00 AM-1 
Sunday, February 6, 2022 6:00:00 AM-2 
Sunday, February 6, 2022 6:00:00 AM-3 
Monday, February 7, 2022 6:00:00 AM-0 
Tuesday, February 8, 2022 6:00:00 AM-0 
Wednesday, February 9, 2022 6:00:00 AM-0 
Friday, February 11, 2022 6:00:00 AM-0 
Friday, February 11, 2022 6:00:00 AM-1 
Friday, February 11, 2022 6:00:00 AM-2 
Saturday, February 12, 2022 6:00:00 AM-0 
Saturday, February 12, 2022 6:00:00 AM-1 
Sunday, February 13, 2022 6:00:00 AM-0 
Sunday, February 13, 2022 6:00:00 AM-1 
Monday, February 14, 2022 6:00:00 AM-0 
Wednesday, February 16, 2022 6:00:00 AM-0 
Wednesday, February 16, 2022 6:00:00 AM-1 
Friday, February 18, 2022 6:00:00 AM-0 
Friday, February 18, 2022 6:00:00 AM-1 
Friday, February 18, 2022 6:00:00 AM-2 
Friday, February 18, 2022 6:00:00 AM-3 
Saturday, February 19, 2022 6:00:00 AM-0 
Saturday, February 19, 2022 6:00:00 AM-1 
Saturday, February 19, 2022 6:00:00 AM-2 
Saturday, February 19, 2022 6:00:00 AM-3 
Sunday, February 20, 2022 6:00:00 AM-0 
Sunday, February 20, 2022 6:00:00 AM-1 
Sunday, February 20, 2022 6:00:00 AM-2 
Sunday, February 20, 2022 6:00:00 AM-3 
Monday, February 21, 2022 6:00:00 AM-0 
Monday, February 21, 2022 6:00:00 AM-1 
Monday, February 21, 2022 6:00:00 AM-2 
Tuesday, February 22, 2022 6:00:00 AM-0 
Tuesday, February 22, 2022 6:00:00 AM-1 
Tuesday, February 22, 2022 6:00:00 AM-2 
Tuesday, February 22, 2022 6:00:00 AM-3 
Wednesday, February 23, 2022 6:00:00 AM-0 
Wednesday, February 23, 2022 6:00:00 AM-1 
Wednesday, February 23, 2022 6:00:00 AM-2 
Friday, February 25, 2022 6:00:00 AM-0 
Friday, February 25, 2022 6:00:00 AM-1 
Saturday, February 26, 2022 6:00:00 AM-0 
Monday, February 28, 2022 6:00:00 AM-0 
Monday, February 28, 2022 6:00:00 AM-1 
Monday, February 28, 2022 6:00:00 AM-2 
Wednesday, March 2, 2022 6:00:00 AM-0 
Wednesday, March 2, 2022 6:00:00 AM-1 
Thursday, March 3, 2022 6:00:00 AM-0 
Friday, March 4, 2022 6:00:00 AM-0 
Friday, March 4, 2022 6:00:00 AM-1 
Friday, March 4, 2022 6:00:00 AM-2 
Saturday, March 5, 2022 6:00:00 AM-0 
Sunday, March 6, 2022 6:00:00 AM-0 
Sunday, March 6, 2022 6:00:00 AM-1 
Sunday, March 6, 2022 6:00:00 AM-2 
Monday, March 7, 2022 6:00:00 AM-0 
Monday, March 7, 2022 6:00:00 AM-1 
Monday, March 7, 2022 6:00:00 AM-2 
Tuesday, March 8, 2022 6:00:00 AM-0 
Tuesday, March 8, 2022 6:00:00 AM-1 
Tuesday, March 8, 2022 6:00:00 AM-2 
Tuesday, March 8, 2022 6:00:00 AM-3 
Wednesday, March 9, 2022 6:00:00 AM-0 
Wednesday, March 9, 2022 6:00:00 AM-1 
Wednesday, March 9, 2022 6:00:00 AM-2 
Thursday, March 10, 2022 6:00:00 AM-0 
Thursday, March 10, 2022 6:00:00 AM-1 
Friday, March 11, 2022 6:00:00 AM-0 
Saturday, March 12, 2022 6:00:00 AM-0 
Saturday, March 12, 2022 6:00:00 AM-1 
Tuesday, March 15, 2022 5:00:00 AM-0 
Tuesday, March 15, 2022 5:00:00 AM-1 
Tuesday, March 15, 2022 5:00:00 AM-2 
Wednesday, March 16, 2022 5:00:00 AM-0 
Wednesday, March 16, 2022 5:00:00 AM-1 
Wednesday, March 16, 2022 5:00:00 AM-2 
Wednesday, March 16, 2022 5:00:00 AM-3 
Thursday, March 17, 2022 5:00:00 AM-0 
Thursday, March 17, 2022 5:00:00 AM-1 
Thursday, March 17, 2022 5:00:00 AM-2 
Thursday, March 17, 2022 5:00:00 AM-3 
Friday, March 18, 2022 5:00:00 AM-0 
Saturday, March 19, 2022 5:00:00 AM-0 
Saturday, March 19, 2022 5:00:00 AM-1 
Saturday, March 19, 2022 5:00:00 AM-2 
Saturday, March 19, 2022 5:00:00 AM-3 
Sunday, March 20, 2022 5:00:00 AM-0 
Tuesday, March 22, 2022 5:00:00 AM-0 
Wednesday, March 23, 2022 5:00:00 AM-0 
Wednesday, March 23, 2022 5:00:00 AM-1 
Wednesday, March 23, 2022 5:00:00 AM-2 
Wednesday, March 23, 2022 5:00:00 AM-3 
Thursday, March 24, 2022 5:00:00 AM-0 
Thursday, March 24, 2022 5:00:00 AM-1 
Thursday, March 24, 2022 5:00:00 AM-2 
Friday, March 25, 2022 5:00:00 AM-0 
Friday, March 25, 2022 5:00:00 AM-1 
Friday, March 25, 2022 5:00:00 AM-2 
Friday, March 25, 2022 5:00:00 AM-3 
Saturday, March 26, 2022 5:00:00 AM-0 
Saturday, March 26, 2022 5:00:00 AM-1 
Monday, March 28, 2022 5:00:00 AM-0 
Monday, March 28, 2022 5:00:00 AM-1 
Tuesday, March 29, 2022 5:00:00 AM-0 
Tuesday, March 29, 2022 5:00:00 AM-1 
Tuesday, March 29, 2022 5:00:00 AM-2 
Thursday, March 31, 2022 5:00:00 AM-0 
Thursday, March 31, 2022 5:00:00 AM-1 
Friday, April 1, 2022 5:00:00 AM-0 
Friday, April 1, 2022 5:00:00 AM-1 
Friday, April 1, 2022 5:00:00 AM-2 
Friday, April 1, 2022 5:00:00 AM-3 
Saturday, April 2, 2022 5:00:00 AM-0 
Saturday, April 2, 2022 5:00:00 AM-1 
Saturday, April 2, 2022 5:00:00 AM-2 
Sunday, April 3, 2022 5:00:00 AM-0 
Sunday, April 3, 2022 5:00:00 AM-1 
Sunday, April 3, 2022 5:00:00 AM-2 
Sunday, April 3, 2022 5:00:00 AM-3 
Monday, April 4, 2022 5:00:00 AM-0 
Monday, April 4, 2022 5:00:00 AM-1 
Monday, April 4, 2022 5:00:00 AM-2 
Monday, April 4, 2022 5:00:00 AM-3 
Tuesday, April 5, 2022 5:00:00 AM-0 
Wednesday, April 6, 2022 5:00:00 AM-0 
Wednesday, April 6, 2022 5:00:00 AM-1 
Thursday, April 7, 2022 5:00:00 AM-0 
Friday, April 8, 2022 5:00:00 AM-0 
Sunday, April 10, 2022 5:00:00 AM-0 
Sunday, April 10, 2022 5:00:00 AM-1 
Monday, April 11, 2022 5:00:00 AM-0 
Monday, April 11, 2022 5:00:00 AM-1 
Monday, April 11, 2022 5:00:00 AM-2 
Tuesday, April 12, 2022 5:00:00 AM-0 
Tuesday, April 12, 2022 5:00:00 AM-1 
Tuesday, April 12, 2022 5:00:00 AM-2 
Wednesday, April 13, 2022 5:00:00 AM-0 
Wednesday, April 13, 2022 5:00:00 AM-1 
Thursday, April 14, 2022 5:00:00 AM-0 
Thursday, April 14, 2022 5:00:00 AM-1 
Friday, April 15, 2022 5:00:00 AM-0 
Friday, April 15, 2022 5:00:00 AM-1 
Saturday, April 16, 2022 5:00:00 AM-0 
Saturday, April 16, 2022 5:00:00 AM-1 
Saturday, April 16, 2022 5:00:00 AM-2 
Saturday, April 16, 2022 5:00:00 AM-3 
Monday, April 18, 2022 5:00:00 AM-0 
Monday, April 18, 2022 5:00:00 AM-1 
Monday, April 18, 2022 5:00:00 AM-2 
Monday, April 18, 2022 5:00:00 AM-3 
Tuesday, April 19, 2022 5:00:00 AM-0 
Tuesday, April 19, 2022 5:00:00 AM-1 
Thursday, April 21, 2022 5:00:00 AM-0 
Thursday, April 21, 2022 5:00:00 AM-1 
Thursday, April 21, 2022 5:00:00 AM-2 
Thursday, April 21, 2022 5:00:00 AM-3 
Friday, April 22, 2022 5:00:00 AM-0 
Friday, April 22, 2022 5:00:00 AM-1 
Friday, April 22, 2022 5:00:00 AM-2 
Friday, April 22, 2022 5:00:00 AM-3 
Saturday, April 23, 2022 5:00:00 AM-0 
Monday, April 25, 2022 5:00:00 AM-0 
Monday, April 25, 2022 5:00:00 AM-1 
Monday, April 25, 2022 5:00:00 AM-2 
Monday, April 25, 2022 5:00:00 AM-3 
Tuesday, April 26, 2022 5:00:00 AM-0 
Tuesday, April 26, 2022 5:00:00 AM-1 
Tuesday, April 26, 2022 5:00:00 AM-2 
Tuesday, April 26, 2022 5:00:00 AM-3 
Wednesday, April 27, 2022 5:00:00 AM-0 
Thursday, April 28, 2022 5:00:00 AM-0 
Friday, April 29, 2022 5:00:00 AM-0 
Friday, April 29, 2022 5:00:00 AM-1 
Saturday, April 30, 2022 5:00:00 AM-0 
Saturday, April 30, 2022 5:00:00 AM-1 
Saturday, April 30, 2022 5:00:00 AM-2 
Saturday, April 30, 2022 5:00:00 AM-3 
Sunday, May 1, 2022 5:00:00 AM-0 
Sunday, May 1, 2022 5:00:00 AM-1 
Sunday, May 1, 2022 5:00:00 AM-2 
Tuesday, May 3, 2022 5:00:00 AM-0 
Tuesday, May 3, 2022 5:00:00 AM-1 
Thursday, May 5, 2022 5:00:00 AM-0 
Thursday, May 5, 2022 5:00:00 AM-1 
Thursday, May 5, 2022 5:00:00 AM-2 
Friday, May 6, 2022 5:00:00 AM-0 
Friday, May 6, 2022 5:00:00 AM-1 
Friday, May 6, 2022 5:00:00 AM-2 
Friday, May 6, 2022 5:00:00 AM-3 
Saturday, May 7, 2022 5:00:00 AM-0 
Saturday, May 7, 2022 5:00:00 AM-1 
Saturday, May 7, 2022 5:00:00 AM-2 
Saturday, May 7, 2022 5:00:00 AM-3 
Monday, May 9, 2022 5:00:00 AM-0 
Monday, May 9, 2022 5:00:00 AM-1 
Monday, May 9, 2022 5:00:00 AM-2 
Wednesday, May 11, 2022 5:00:00 AM-0 
Wednesday, May 11, 2022 5:00:00 AM-1 
Thursday, May 12, 2022 5:00:00 AM-0 
Thursday, May 12, 2022 5:00:00 AM-1 
Thursday, May 12, 2022 5:00:00 AM-2 
Thursday, May 12, 2022 5:00:00 AM-3 
Friday, May 13, 2022 5:00:00 AM-0 
Friday, May 13, 2022 5:00:00 AM-1 
Friday, May 13, 2022 5:00:00 AM-2 
Friday, May 13, 2022 5:00:00 AM-3 
Saturday, May 14, 2022 5:00:00 AM-0 
Sunday, May 15, 2022 5:00:00 AM-0 
Sunday, May 15, 2022 5:00:00 AM-1 
Wednesday, May 18, 2022 5:00:00 AM-0 
Wednesday, May 18, 2022 5:00:00 AM-1 
Wednesday, May 18, 2022 5:00:00 AM-2 
Wednesday, May 18, 2022 5:00:00 AM-3 
Thursday, May 19, 2022 5:00:00 AM-0 
Thursday, May 19, 2022 5:00:00 AM-1 
Thursday, May 19, 2022 5:00:00 AM-2 
Friday, May 20, 2022 5:00:00 AM-0 
Saturday, May 21, 2022 5:00:00 AM-0 
Saturday, May 21, 2022 5:00:00 AM-1 
Monday, May 23, 2022 5:00:00 AM-0 
Monday, May 23, 2022 5:00:00 AM-1 
Monday, May 23, 2022 5:00:00 AM-2 
Monday, May 23, 2022 5:00:00 AM-3 
Wednesday, May 25, 2022 5:00:00 AM-0 
Wednesday, May 25, 2022 5:00:00 AM-1 
Saturday, May 28, 2022 5:00:00 AM-0 
Saturday, May 28, 2022 5:00:00 AM-1 
Saturday, May 28, 2022 5:00:00 AM-2 
Saturday, May 28, 2022 5:00:00 AM-3 
Sunday, May 29, 2022 5:00:00 AM-0 
Sunday, May 29, 2022 5:00:00 AM-1 
Monday, May 30, 2022 5:00:00 AM-0 
Monday, May 30, 2022 5:00:00 AM-1 
Monday, May 30, 2022 5:00:00 AM-2 
Monday, May 30, 2022 5:00:00 AM-3 
Tuesday, May 31, 2022 5:00:00 AM-0 
Tuesday, May 31, 2022 5:00:00 AM-1 
Tuesday, May 31, 2022 5:00:00 AM-2 
Tuesday, May 31, 2022 5:00:00 AM-3 
Friday, June 3, 2022 5:00:00 AM-0 
Friday, June 3, 2022 5:00:00 AM-1 
Sunday, June 5, 2022 5:00:00 AM-0 
Sunday, June 5, 2022 5:00:00 AM-1 
Sunday, June 5, 2022 5:00:00 AM-2 
Sunday, June 5, 2022 5:00:00 AM-3 
Monday, June 6, 2022 5:00:00 AM-0 
Monday, June 6, 2022 5:00:00 AM-1 
Monday, June 6, 2022 5:00:00 AM-2 
Wednesday, June 8, 2022 5:00:00 AM-0 
Thursday, June 9, 2022 5:00:00 AM-0 
Friday, June 10, 2022 5:00:00 AM-0 
Friday, June 10, 2022 5:00:00 AM-1 
Friday, June 10, 2022 5:00:00 AM-2 
Friday, June 10, 2022 5:00:00 AM-3 
Saturday, June 11, 2022 5:00:00 AM-0 
Saturday, June 11, 2022 5:00:00 AM-1 
Saturday, June 11, 2022 5:00:00 AM-2 
Sunday, June 12, 2022 5:00:00 AM-0 
Sunday, June 12, 2022 5:00:00 AM-1 
Sunday, June 12, 2022 5:00:00 AM-2 
Sunday, June 12, 2022 5:00:00 AM-3 
Monday, June 13, 2022 5:00:00 AM-0 
Monday, June 13, 2022 5:00:00 AM-1 
Tuesday, June 14, 2022 5:00:00 AM-0 
Tuesday, June 14, 2022 5:00:00 AM-1 
Wednesday, June 15, 2022 5:00:00 AM-0 
Wednesday, June 15, 2022 5:00:00 AM-1 
Wednesday, June 15, 2022 5:00:00 AM-2 
Friday, June 17, 2022 5:00:00 AM-0 
Friday, June 17, 2022 5:00:00 AM-1 
Friday, June 17, 2022 5:00:00 AM-2 
Friday, June 17, 2022 5:00:00 AM-3 
Saturday, June 18, 2022 5:00:00 AM-0 
Saturday, June 18, 2022 5:00:00 AM-1 
Saturday, June 18, 2022 5:00:00 AM-2 
Sunday, June 19, 2022 5:00:00 AM-0 
Sunday, June 19, 2022 5:00:00 AM-1 
Monday, June 20, 2022 5:00:00 AM-0 
Monday, June 20, 2022 5:00:00 AM-1 
Tuesday, June 21, 2022 5:00:00 AM-0 
Tuesday, June 21, 2022 5:00:00 AM-1 
Wednesday, June 22, 2022 5:00:00 AM-0 
Friday, June 24, 2022 5:00:00 AM-0 
Friday, June 24, 2022 5:00:00 AM-1 
Friday, June 24, 2022 5:00:00 AM-2 
Friday, June 24, 2022 5:00:00 AM-3 
Saturday, June 25, 2022 5:00:00 AM-0 
Saturday, June 25, 2022 5:00:00 AM-1 
Saturday, June 25, 2022 5:00:00 AM-2 
Saturday, June 25, 2022 5:00:00 AM-3 
Monday, June 27, 2022 5:00:00 AM-0 
Monday, June 27, 2022 5:00:00 AM-1 
Monday, June 27, 2022 5:00:00 AM-2 
Tuesday, June 28, 2022 5:00:00 AM-0 
Tuesday, June 28, 2022 5:00:00 AM-1 
Tuesday, June 28, 2022 5:00:00 AM-2 
Wednesday, June 29, 2022 5:00:00 AM-0 
Wednesday, June 29, 2022 5:00:00 AM-1 
Thursday, June 30, 2022 5:00:00 AM-0 
Thursday, June 30, 2022 5:00:00 AM-1 
Thursday, June 30, 2022 5:00:00 AM-2 
Friday, July 1, 2022 5:00:00 AM-0 
Saturday, July 2, 2022 5:00:00 AM-0 
Sunday, July 3, 2022 5:00:00 AM-0 
Sunday, July 3, 2022 5:00:00 AM-1 
Sunday, July 3, 2022 5:00:00 AM-2 
Sunday, July 3, 2022 5:00:00 AM-3 
Monday, July 4, 2022 5:00:00 AM-0 
Monday, July 4, 2022 5:00:00 AM-1 
Monday, July 4, 2022 5:00:00 AM-2 
Tuesday, July 5, 2022 5:00:00 AM-0 
Tuesday, July 5, 2022 5:00:00 AM-1 
Wednesday, July 6, 2022 5:00:00 AM-0 
Wednesday, July 6, 2022 5:00:00 AM-1 
Wednesday, July 6, 2022 5:00:00 AM-2 
Thursday, July 7, 2022 5:00:00 AM-0 
Thursday, July 7, 2022 5:00:00 AM-1 
Saturday, July 9, 2022 5:00:00 AM-0 
Sunday, July 10, 2022 5:00:00 AM-0 
Monday, July 11, 2022 5:00:00 AM-0 
Tuesday, July 12, 2022 5:00:00 AM-0 
Tuesday, July 12, 2022 5:00:00 AM-1 
Tuesday, July 12, 2022 5:00:00 AM-2 
Tuesday, July 12, 2022 5:00:00 AM-3 
Wednesday, July 13, 2022 5:00:00 AM-0 
Wednesday, July 13, 2022 5:00:00 AM-1 
Thursday, July 14, 2022 5:00:00 AM-0 
Thursday, July 14, 2022 5:00:00 AM-1 
Thursday, July 14, 2022 5:00:00 AM-2 
Friday, July 15, 2022 5:00:00 AM-0 
Friday, July 15, 2022 5:00:00 AM-1 
Saturday, July 16, 2022 5:00:00 AM-0 
Sunday, July 17, 2022 5:00:00 AM-0 
Sunday, July 17, 2022 5:00:00 AM-1 
Sunday, July 17, 2022 5:00:00 AM-2 
Monday, July 18, 2022 5:00:00 AM-0 
Monday, July 18, 2022 5:00:00 AM-1 
Thursday, July 21, 2022 5:00:00 AM-0 
Thursday, July 21, 2022 5:00:00 AM-1 
Thursday, July 21, 2022 5:00:00 AM-2 
Thursday, July 21, 2022 5:00:00 AM-3 
Friday, July 22, 2022 5:00:00 AM-0 
Friday, July 22, 2022 5:00:00 AM-1 
Friday, July 22, 2022 5:00:00 AM-2 
Saturday, July 23, 2022 5:00:00 AM-0 
Saturday, July 23, 2022 5:00:00 AM-1 
Monday, July 25, 2022 5:00:00 AM-0 
Monday, July 25, 2022 5:00:00 AM-1 
Monday, July 25, 2022 5:00:00 AM-2 
Tuesday, July 26, 2022 5:00:00 AM-0 
Tuesday, July 26, 2022 5:00:00 AM-1 
Thursday, July 28, 2022 5:00:00 AM-0 
Friday, July 29, 2022 5:00:00 AM-0 
Friday, July 29, 2022 5:00:00 AM-1 
Saturday, July 30, 2022 5:00:00 AM-0 
Saturday, July 30, 2022 5:00:00 AM-1 
Saturday, July 30, 2022 5:00:00 AM-2 
Saturday, July 30, 2022 5:00:00 AM-3 
Monday, August 1, 2022 5:00:00 AM-0 
Monday, August 1, 2022 5:00:00 AM-1 
Monday, August 1, 2022 5:00:00 AM-2 
Tuesday, August 2, 2022 5:00:00 AM-0 
Wednesday, August 3, 2022 5:00:00 AM-0 
Wednesday, August 3, 2022 5:00:00 AM-1 
Thursday, August 4, 2022 5:00:00 AM-0 
Friday, August 5, 2022 5:00:00 AM-0 
Saturday, August 6, 2022 5:00:00 AM-0 
Saturday, August 6, 2022 5:00:00 AM-1 
Saturday, August 6, 2022 5:00:00 AM-2 
Monday, August 8, 2022 5:00:00 AM-0 
Tuesday, August 9, 2022 5:00:00 AM-0 
Tuesday, August 9, 2022 5:00:00 AM-1 
Tuesday, August 9, 2022 5:00:00 AM-2 
Tuesday, August 9, 2022 5:00:00 AM-3 
Wednesday, August 10, 2022 5:00:00 AM-0 
Wednesday, August 10, 2022 5:00:00 AM-1 
Thursday, August 11, 2022 5:00:00 AM-0 
Thursday, August 11, 2022 5:00:00 AM-1 
Thursday, August 11, 2022 5:00:00 AM-2 
Friday, August 12, 2022 5:00:00 AM-0 
Friday, August 12, 2022 5:00:00 AM-1 
Friday, August 12, 2022 5:00:00 AM-2 
Friday, August 12, 2022 5:00:00 AM-3 
Saturday, August 13, 2022 5:00:00 AM-0 
Monday, August 15, 2022 5:00:00 AM-0 
Tuesday, August 16, 2022 5:00:00 AM-0 
Tuesday, August 16, 2022 5:00:00 AM-1 
Tuesday, August 16, 2022 5:00:00 AM-2 
Wednesday, August 17, 2022 5:00:00 AM-0 
Wednesday, August 17, 2022 5:00:00 AM-1 
Wednesday, August 17, 2022 5:00:00 AM-2 
Thursday, August 18, 2022 5:00:00 AM-0 
Friday, August 19, 2022 5:00:00 AM-0 
Saturday, August 20, 2022 5:00:00 AM-0 
Sunday, August 21, 2022 5:00:00 AM-0 
Sunday, August 21, 2022 5:00:00 AM-1 
Sunday, August 21, 2022 5:00:00 AM-2 
Monday, August 22, 2022 5:00:00 AM-0 
Monday, August 22, 2022 5:00:00 AM-1 
Monday, August 22, 2022 5:00:00 AM-2 
Monday, August 22, 2022 5:00:00 AM-3 
Tuesday, August 23, 2022 5:00:00 AM-0 
Wednesday, August 24, 2022 5:00:00 AM-0 
Wednesday, August 24, 2022 5:00:00 AM-1 
Wednesday, August 24, 2022 5:00:00 AM-2 
Thursday, August 25, 2022 5:00:00 AM-0 
Thursday, August 25, 2022 5:00:00 AM-1 
Thursday, August 25, 2022 5:00:00 AM-2 
Thursday, August 25, 2022 5:00:00 AM-3 
Saturday, August 27, 2022 5:00:00 AM-0 
Saturday, August 27, 2022 5:00:00 AM-1 
Saturday, August 27, 2022 5:00:00 AM-2 
Monday, August 29, 2022 5:00:00 AM-0 
Monday, August 29, 2022 5:00:00 AM-1 
Monday, August 29, 2022 5:00:00 AM-2 
Monday, August 29, 2022 5:00:00 AM-3 
Wednesday, August 31, 2022 5:00:00 AM-0 
Wednesday, August 31, 2022 5:00:00 AM-1 
Wednesday, August 31, 2022 5:00:00 AM-2 
Wednesday, August 31, 2022 5:00:00 AM-3 
Friday, September 2, 2022 5:00:00 AM-0 
Friday, September 2, 2022 5:00:00 AM-1 
Saturday, September 3, 2022 5:00:00 AM-0 
Tuesday, September 6, 2022 5:00:00 AM-0 
Tuesday, September 6, 2022 5:00:00 AM-1 
Wednesday, September 7, 2022 5:00:00 AM-0 
Wednesday, September 7, 2022 5:00:00 AM-1 
Thursday, September 8, 2022 5:00:00 AM-0 
Thursday, September 8, 2022 5:00:00 AM-1 
Thursday, September 8, 2022 5:00:00 AM-2 
Thursday, September 8, 2022 5:00:00 AM-3 
Friday, September 9, 2022 5:00:00 AM-0 
Friday, September 9, 2022 5:00:00 AM-1 
Friday, September 9, 2022 5:00:00 AM-2 
Friday, September 9, 2022 5:00:00 AM-3 
Saturday, September 10, 2022 5:00:00 AM-0 
Sunday, September 11, 2022 5:00:00 AM-0 
Sunday, September 11, 2022 5:00:00 AM-1 
Sunday, September 11, 2022 5:00:00 AM-2 
Sunday, September 11, 2022 5:00:00 AM-3 
Monday, September 12, 2022 5:00:00 AM-0 
Monday, September 12, 2022 5:00:00 AM-1 
Monday, September 12, 2022 5:00:00 AM-2 
Tuesday, September 13, 2022 5:00:00 AM-0 
Tuesday, September 13, 2022 5:00:00 AM-1 
Tuesday, September 13, 2022 5:00:00 AM-2 
Thursday, September 15, 2022 5:00:00 AM-0 
Thursday, September 15, 2022 5:00:00 AM-1 
Thursday, September 15, 2022 5:00:00 AM-2 
Thursday, September 15, 2022 5:00:00 AM-3 
Friday, September 16, 2022 5:00:00 AM-0 
Friday, September 16, 2022 5:00:00 AM-1 
Friday, September 16, 2022 5:00:00 AM-2 
Friday, September 16, 2022 5:00:00 AM-3 
Saturday, September 17, 2022 5:00:00 AM-0 
Saturday, September 17, 2022 5:00:00 AM-1 
Saturday, September 17, 2022 5:00:00 AM-2 
Sunday, September 18, 2022 5:00:00 AM-0 
Sunday, September 18, 2022 5:00:00 AM-1 
Monday, September 19, 2022 5:00:00 AM-0 
Monday, September 19, 2022 5:00:00 AM-1 
Tuesday, September 20, 2022 5:00:00 AM-0 
Tuesday, September 20, 2022 5:00:00 AM-1 
Wednesday, September 21, 2022 5:00:00 AM-0 
Thursday, September 22, 2022 5:00:00 AM-0 
Thursday, September 22, 2022 5:00:00 AM-1 
Thursday, September 22, 2022 5:00:00 AM-2 
Thursday, September 22, 2022 5:00:00 AM-3 
Friday, September 23, 2022 5:00:00 AM-0 
Friday, September 23, 2022 5:00:00 AM-1 
Friday, September 23, 2022 5:00:00 AM-2 
Friday, September 23, 2022 5:00:00 AM-3 
Saturday, September 24, 2022 5:00:00 AM-0 
Saturday, September 24, 2022 5:00:00 AM-1 
Saturday, September 24, 2022 5:00:00 AM-2 
Saturday, September 24, 2022 5:00:00 AM-3 
Monday, September 26, 2022 5:00:00 AM-0 
